129	0.196	2.810	3.019
130	0.105	2.359	3.158
131	0.110	2.414	3.327
132	0.255	2.342	3.252
133	3.188	0.858	3.191
134	3.084	0.670	3.181
135	3.180	0.670	3.087
136	3.231	0.993	3.234
137	3.089	0.790	3.247
138	3.246	0.790	3.092
139	3.015	0.589	3.202
140	3.202	0.588	3.019
141	3.293	1.040	3.158
142	3.288	0.984	3.327
143	3.144	1.056	3.252
144	0.207	3.188	2.540
145	0.217	3.084	2.728
146	0.311	3.180	2.729
147	0.164	3.231	2.405
148	0.151	3.089	2.608
149	0.306	3.246	2.608
150	0.196	3.015	2.809
151	0.379	3.202	2.810
152	0.240	3.293	2.359
153	0.072	3.288	2.414
154	0.146	3.144	2.342
155	3.191	0.210	2.540
156	3.181	0.314	2.728
157	3.087	0.218	2.729
158	3.234	0.167	2.405
159	3.247	0.310	2.608
160	3.092	0.152	2.608
161	3.202	0.383	2.809
162	3.019	0.196	2.810
163	3.158	0.105	2.359
164	3.327	0.110	2.414
165	3.252	0.255	2.342
166	3.191	3.188	0.858
167	3.181	3.084	0.670
168	3.087	3.180	0.670
169	3.234	3.231	0.993
170	3.247	3.089	0.790
171	3.092	3.246	0.790
172	3.202	3.015	0.589
173	3.019	3.202	0.588
174	3.158	3.293	1.040
175	3.327	3.288	0.984
176	3.252	3.144	1.056
177	1.059	1.708	1.057
178	1.164	1.520	1.067
179	1.068	1.519	1.161
180	1.017	1.843	1.013
181	1.159	1.640	1.001
182	1.002	1.640	1.156
183	1.233	1.438	1.046
184	1.046	1.437	1.229
185	0.954	1.889	1.090
186	0.960	1.834	0.921
187	1.104	1.906	0.996
188	0.640	-0.009	1.057
189	0.535	0.180	1.067
190	0.631	0.180	1.161
191	0.682	-0.144	1.013
192	0.540	0.059	1.001
193	0.697	0.060	1.156
194	0.467	0.261	1.046
195	0.653	0.262	1.229
196	0.745	-0.190	1.090
197	0.739	-0.135	0.921
198	0.595	-0.206	0.996
199	1.059	-0.009	0.642
200	1.164	0.180	0.632
201	1.068	0.180	0.538
202	1.017	-0.144	0.686
203	1.159	0.059	0.698
204	1.002	0.060	0.543
205	1.233	0.261	0.653
206	1.046	0.262	0.470
207	0.954	-0.190	0.609
208	0.960	-0.135	0.778
209	1.104	-0.206	0.703
210	0.640	1.708	0.642
211	0.535	1.520	0.632
212	0.631	1.519	0.538
